"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R63","0805_ReflowSoldering_RES","7568.75mil","2075mil","7568.75mil","2075mil","7604.75mil","2075mil","T","180.00","RES_0805_1%_100PPM_10K"
"R66","0805_ReflowSoldering_RES","7968.75mil","2075mil","7968.75mil","2075mil","8004.75mil","2075mil","T","180.00","RES_0805_1%_100PPM_10K"
"R85","0805_ReflowSoldering_RES","9968.75mil","2075mil","9968.75mil","2075mil","10004.75mil","2075mil","T","180.00","RES_0805_1%_100PPM_10K"
"SUP_K12","RELAY-SUPPORT_FINDER_SERIE93","-2738.709mil","-5108.37mil","6375mil","1215.748mil","-2738.709mil","-5108.37mil","T","90.00","RELAY-SUPPORT_93.11"
"SUP_K14","RELAY-SUPPORT_FINDER_SERIE93","-2738.709mil","-5108.37mil","7175mil","1215.748mil","-2738.709mil","-5108.37mil","T","90.00","RELAY-SUPPORT_93.11"
"SUP_K21","RELAY-SUPPORT_FINDER_SERIE93","-2738.709mil","-5108.37mil","10375mil","1215.748mil","-2738.709mil","-5108.37mil","T","90.00","RELAY-SUPPORT_93.11"
"SUP_K1","RELAY-SUPPORT_FINDER_SERIE93","-2738.709mil","-5108.37mil","375mil","1215.748mil","-2738.709mil","-5108.37mil","T","90.00","RELAY-SUPPORT_93.11"
"SUP_K2","RELAY-SUPPORT_FINDER_SERIE93","-2738.709mil","-5108.37mil","775mil","1215.748mil","-2738.709mil","-5108.37mil","T","90.00","RELAY-SUPPORT_93.11"
"SUP_K7","RELAY-SUPPORT_FINDER_SERIE93","-2738.709mil","-5108.37mil","3975mil","1215.748mil","-2738.709mil","-5108.37mil","T","90.00","RELAY-SUPPORT_93.11"
"SUP_K8","RELAY-SUPPORT_FINDER_SERIE95","-2738.709mil","-5108.37mil","4475mil","1164.37mil","-2738.709mil","-5108.37mil","T","0.00","RELAY-SUPPORT_95.15.2"
"SUP_K9","RELAY-SUPPORT_FINDER_SERIE95","-2738.709mil","-5108.37mil","5075mil","1164.37mil","-2738.709mil","-5108.37mil","T","0.00","RELAY-SUPPORT_95.15.2"
"SUP_K10","RELAY-SUPPORT_FINDER_SERIE93","-2738.709mil","-5108.37mil","5575mil","1215.748mil","-2738.709mil","-5108.37mil","T","90.00","RELAY-SUPPORT_93.11"
